Marca,Model,Volum
DACIA,SPRING,48
RENAULT,RENAULT 5 E-TECH ELECTRIC,23
RENAULT,RENAULT 4 E-TECH ELECTRIC,4
FORD,PUMA,2
TESLA,MODEL 3,2
VOLKSWAGEN,UP !,2
FIAT,500,2
AUDI,Q4 50 E-TRON,1
VOLKSWAGEN,"ID,3 PRO 107 KW",1
VOLVO,EX30,1
HYUNDAI,KONA,1
AUDI,S E-TRON GT,1
BMW,I4 M50,1
LEXUS,LEXUS UX300E,1
PORSCHE,TAYCAN,1
RENAULT,ZOE,1
TESLA,,1
FIAT,PANDA,1
TESLA,MODEL Y,1
"VOLKSWAGEN, VW","ID,3 PRO 150 KW",1
VOLKSWAGEN,CRAFTER,1
RENAULT,MEGANE E-TECH ELECTRIC,1
HYUNDAI,IONIQ6,1
PORSCHE,TAYCAN TURBO,1
MINI,COOPER SE,1
BMW I,I3S,1
NISSAN,NISSAN LEAF 40KWH,1
